Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id
1,1,1,4,4,1,0,2,1.093173e+00,5.0,1.0,1,Sub111
1,1,2,-4,2,1,2,3,7.439823e-01,2.0,6.0,1,Sub111
1,1,3,-2,6,1,1,3,1.244448e+00,1.0,3.0,1,Sub111
1,1,4,-4,2,1,0,2,1.081249e+00,2.0,6.0,1,Sub111
1,1,5,3,3,1,0,2,1.116569e+00,5.0,2.0,1,Sub111
1,1,6,-3,5,1,1,3,1.259775e+00,1.0,4.0,1,Sub111
1,1,7,-1,5,1,0,2,1.492619e+00,2.0,3.0,1,Sub111
1,1,8,4,2,1,0,2,6.545905e-01,6.0,2.0,1,Sub111
1,1,9,-2,2,0,998,4,?,3.0,5.0,1,Sub111
1,1,10,-1,5,1,1,3,8.967270e-01,2.0,3.0,1,Sub111
1,1,11,2,8,1,0,2,7.517183e-01,2.0,0.0,1,Sub111
1,1,12,1,1,1,0,1,7.927615e-01,5.0,4.0,1,Sub111
1,1,13,-4,4,1,1,3,1.140981e+00,1.0,5.0,1,Sub111
1,1,14,-4,2,1,2,3,1.028746e+00,2.0,6.0,1,Sub111
1,1,15,4,2,1,0,2,5.747248e-01,6.0,2.0,1,Sub111
1,1,16,4,2,1,0,2,5.140669e-01,6.0,2.0,1,Sub111
1,1,17,4,6,1,0,2,5.285185e-01,4.0,0.0,1,Sub111
1,1,18,2,4,1,0,2,5.758813e-01,4.0,2.0,1,Sub111
1,1,19,-2,4,1,1,3,8.277347e-01,2.0,4.0,1,Sub111
1,1,20,3,7,1,0,1,6.266397e-01,3.0,0.0,1,Sub111
2,2,21,-1,5,1,1,3,1.166002e+00,2.0,3.0,1,Sub111
2,2,22,-1,5,1,1,3,6.425244e-01,2.0,3.0,1,Sub111
2,2,23,-3,5,1,2,3,9.731058e-01,1.0,4.0,1,Sub111
2,2,24,4,2,1,0,2,5.448196e-01,6.0,2.0,1,Sub111
2,2,25,4,6,1,0,2,4.446824e-01,4.0,0.0,1,Sub111
2,2,26,1,7,1,0,1,8.445485e-01,2.0,1.0,1,Sub111
2,2,27,-1,5,1,1,3,8.051663e-01,2.0,3.0,1,Sub111
2,2,28,4,2,1,0,2,4.607929e-01,6.0,2.0,1,Sub111
2,2,29,-2,2,1,2,3,1.167304e+00,3.0,5.0,1,Sub111
2,2,30,3,1,1,0,1,7.081438e-01,6.0,3.0,1,Sub111
2,2,31,-4,4,1,1,3,7.538812e-01,1.0,5.0,1,Sub111
2,2,32,3,1,1,0,2,5.991292e-01,6.0,3.0,1,Sub111
2,2,33,2,8,1,0,2,8.396787e-01,2.0,0.0,1,Sub111
2,2,34,-3,5,1,1,3,8.909227e-01,1.0,4.0,1,Sub111
2,2,35,4,4,1,0,1,6.040076e-01,5.0,1.0,1,Sub111
2,2,36,2,8,1,0,2,5.802989e-01,2.0,0.0,1,Sub111
2,2,37,-4,2,1,2,3,9.797031e-01,2.0,6.0,1,Sub111
2,2,38,1,3,1,0,1,9.645596e-01,4.0,3.0,1,Sub111
2,2,39,4,4,1,0,2,7.292186e-01,5.0,1.0,1,Sub111
2,2,40,4,2,1,0,1,6.591993e-01,6.0,2.0,1,Sub111
2,3,41,-3,1,1,2,3,9.117922e-01,3.0,6.0,1,Sub111
2,3,42,-1,7,1,2,3,7.657847e-01,1.0,2.0,1,Sub111
2,3,43,-3,5,1,2,3,8.462084e-01,1.0,4.0,1,Sub111
2,3,44,2,2,1,0,1,5.300261e-01,5.0,3.0,1,Sub111
2,3,45,2,4,1,1,3,1.072477e+00,4.0,2.0,1,Sub111
2,3,46,-3,1,1,2,3,9.762087e-01,3.0,6.0,1,Sub111
2,3,47,-2,4,1,1,3,7.523919e-01,2.0,4.0,1,Sub111
2,3,48,-4,4,1,2,3,8.761908e-01,1.0,5.0,1,Sub111
2,3,49,1,9,1,1,1,8.165966e-01,1.0,0.0,1,Sub111
2,3,50,2,6,1,0,1,1.100732e+00,3.0,1.0,1,Sub111
2,3,51,2,4,1,0,2,7.777331e-01,4.0,2.0,1,Sub111
2,3,52,2,6,1,0,2,9.744017e-01,3.0,1.0,1,Sub111
2,3,53,-1,7,1,2,3,8.045889e-01,1.0,2.0,1,Sub111
2,3,54,-1,3,1,1,3,8.869816e-01,3.0,4.0,1,Sub111
2,3,55,-3,5,1,2,3,1.170017e+00,1.0,4.0,1,Sub111
2,3,56,-3,3,0,998,4,?,2.0,5.0,1,Sub111
2,3,57,-4,4,1,2,3,7.567112e-01,1.0,5.0,1,Sub111
