Type	Block	Trial	SubjectiveValue	Uncertainty	Response	Fishing	Feedback	RT	
1	1	1	4	4	1	1	2	7.174463e-01	
1	1	2	-4	2	1	3	3	7.246789e-01	
1	1	3	-2	6	1	3	3	1.198796e+00	
1	1	4	-4	2	1	3	3	1.084490e+00	
1	1	5	3	3	1	1	2	6.726661e-01	
1	1	6	-3	5	1	3	3	9.951551e-01	
1	1	7	-1	5	1	2	3	1.230133e+00	
1	1	8	4	2	1	1	2	7.599000e-01	
1	1	9	-2	2	1	1	2	1.099631e+00	
1	1	10	-1	5	1	2	3	8.279670e-01	
1	1	11	2	8	1	1	2	8.111526e-01	
1	1	12	1	1	1	1	1	6.005396e-01	
1	1	13	-4	4	1	3	3	9.669299e-01	
1	1	14	-4	2	1	1	1	1.096204e+00	
1	1	15	4	2	1	1	2	7.429922e-01	
1	1	16	4	2	1	1	2	8.221751e-01	
1	1	17	4	6	1	1	2	7.246356e-01	
1	1	18	2	4	1	1	2	8.768526e-01	
1	1	19	-2	4	1	3	3	7.659835e-01	
1	1	20	3	7	1	1	2	8.334552e-01	
2	2	21	-1	5	1	1	1	7.771119e-01	
2	2	22	-1	5	1	2	3	1.160260e+00	
2	2	23	-3	5	1	3	3	1.425766e+00	
2	2	24	4	2	1	1	2	7.705610e-01	
2	2	25	4	6	1	1	2	8.516757e-01	
2	2	26	1	7	1	2	2	1.053584e+00	
2	2	27	-1	5	1	3	3	9.712368e-01	
2	2	28	4	2	1	1	1	8.429155e-01	
2	2	29	-2	2	0	999	4	?	
2	2	30	3	1	1	1	2	7.446948e-01	
2	2	31	-4	4	1	3	3	7.973817e-01	
2	2	32	3	1	1	1	2	7.080617e-01	
2	2	33	2	8	1	1	2	8.060074e-01	
2	2	34	-3	5	1	3	3	1.300438e+00	
2	2	35	4	4	1	1	2	9.441833e-01	
2	2	36	2	8	1	2	2	1.149054e+00	
2	2	37	-4	2	1	3	3	8.999973e-01	
2	2	38	1	3	1	1	2	9.918459e-01	
2	2	39	4	4	1	1	1	1.074164e+00	
2	2	40	4	2	1	1	2	1.021174e+00	
2	3	41	-3	1	1	3	3	6.953803e-01	
2	3	42	-1	7	1	3	3	5.626365e-01	
2	3	43	-3	5	1	3	3	1.025158e+00	
2	3	44	2	2	1	1	2	9.461636e-01	
2	3	45	2	4	1	1	1	1.057571e+00	
2	3	46	-3	1	1	3	3	9.460442e-01	
2	3	47	-2	4	1	3	3	9.491233e-01	
2	3	48	-4	4	1	3	3	9.217435e-01	
2	3	49	1	9	1	2	3	1.004009e+00	
2	3	50	2	6	1	2	2	8.891580e-01	
2	3	51	2	4	1	1	1	8.773614e-01	
2	3	52	2	6	1	1	2	9.739361e-01	
2	3	53	-1	7	1	3	3	1.427046e+00	
2	3	54	-1	3	1	1	1	1.073408e+00	
2	3	55	-3	5	1	2	3	1.184727e+00	
2	3	56	-3	3	1	3	3	1.036762e+00	
2	3	57	-4	4	1	3	3	8.357273e-01	
2	3	58	-2	4	1	3	3	1.184943e+00	
2	3	59	-2	2	1	2	3	1.112765e+00	
2	3	60	-4	4	1	3	3	1.155230e+00	
1	4	61	-1	3	1	2	2	1.191662e+00	
1	4	62	3	1	1	1	2	6.993458e-01	
1	4	63	-1	1	0	999	4	?	
1	4	64	4	2	1	1	1	8.327768e-01	
1	4	65	3	5	1	1	2	8.492762e-01	
1	4	66	-4	4	1	3	3	7.918989e-01	
1	4	67	-3	3	1	3	3	8.200290e-01	
1	4	68	-3	3	1	3	3	9.529030e-01	
1	4	69	1	9	1	1	1	8.720222e-01	
1	4	70	1	9	1	2	1	1.181215e+00	
1	4	71	4	2	1	1	1	9.161137e-01	
1	4	72	-3	5	1	3	3	1.467945e+00	
1	4	73	2	6	1	1	1	8.793050e-01	
1	4	74	-2	4	0	999	4	?	
1	4	75	3	7	1	1	2	8.635116e-01	
1	4	76	2	6	1	1	2	8.615918e-01	
1	4	77	-4	4	1	3	3	8.260623e-01	
1	4	78	2	8	1	2	1	9.222740e-01	
1	4	79	-2	6	1	3	3	1.093345e+00	
1	4	80	4	4	1	1	2	7.228768e-01	
