Type	Block	Trial	SubjectiveValue	Uncertainty	Response	Fishing	Feedback	RT	
2	1	1	4	4	1	1	2	5.832208e-01	
2	1	2	-4	2	1	3	3	6.472461e-01	
2	1	3	-2	6	1	2	3	5.762940e-01	
2	1	4	-4	2	1	3	3	8.732085e-01	
2	1	5	3	3	1	1	2	6.533659e-01	
2	1	6	-3	5	1	3	3	5.961604e-01	
2	1	7	-1	5	1	2	3	6.327449e-01	
2	1	8	4	2	1	1	1	6.000357e-01	
2	1	9	-2	2	1	3	3	6.623789e-01	
2	1	10	-1	5	1	2	3	6.174966e-01	
2	1	11	2	8	1	1	2	7.473774e-01	
2	1	12	1	1	1	1	1	7.216419e-01	
2	1	13	-4	4	1	3	3	7.530288e-01	
2	1	14	-4	2	1	3	3	9.292942e-01	
2	1	15	4	2	1	1	2	7.097617e-01	
2	1	16	4	2	1	1	2	6.926011e-01	
2	1	17	4	6	1	1	1	8.217689e-01	
2	1	18	2	4	1	1	2	7.241365e-01	
2	1	19	-2	4	1	2	2	7.872349e-01	
2	1	20	3	7	1	1	2	6.486566e-01	
1	2	21	-1	5	1	2	3	8.039093e-01	
1	2	22	-1	5	1	2	3	4.169159e-01	
1	2	23	-3	5	1	3	3	8.071801e-01	
1	2	24	4	2	1	1	2	4.477545e-01	
1	2	25	4	6	1	1	2	5.701510e-01	
1	2	26	1	7	1	2	1	7.404371e-01	
1	2	27	-1	5	1	2	3	6.087218e-01	
1	2	28	4	2	1	1	1	5.778065e-01	
1	2	29	-2	2	1	3	3	6.076928e-01	
1	2	30	3	1	1	1	2	5.899861e-01	
1	2	31	-4	4	1	3	3	6.183155e-01	
1	2	32	3	1	1	1	1	7.008686e-01	
1	2	33	2	8	1	1	1	5.973083e-01	
1	2	34	-3	5	1	3	3	6.465504e-01	
1	2	35	4	4	1	1	1	6.843773e-01	
1	2	36	2	8	1	1	1	5.374034e-01	
1	2	37	-4	2	1	3	3	7.184397e-01	
1	2	38	1	3	1	3	3	8.916158e-01	
1	2	39	4	4	1	1	1	5.480975e-01	
1	2	40	4	2	1	1	2	6.173388e-01	
1	3	41	-3	1	1	3	3	6.718710e-01	
1	3	42	-1	7	1	2	1	7.257608e-01	
1	3	43	-3	5	1	2	3	7.382483e-01	
1	3	44	2	2	1	1	2	7.397354e-01	
1	3	45	2	4	1	1	2	8.629261e-01	
1	3	46	-3	1	1	3	3	6.967573e-01	
1	3	47	-2	4	1	3	3	8.520100e-01	
1	3	48	-4	4	1	3	3	7.088018e-01	
1	3	49	1	9	1	2	2	8.657777e-01	
1	3	50	2	6	1	1	1	8.472542e-01	
1	3	51	2	4	1	1	1	8.561992e-01	
1	3	52	2	6	1	1	1	9.567793e-01	
1	3	53	-1	7	1	2	3	6.809553e-01	
1	3	54	-1	3	1	2	3	9.380220e-01	
1	3	55	-3	5	1	3	3	7.896857e-01	
1	3	56	-3	3	1	3	3	5.824446e-01	
1	3	57	-4	4	1	3	3	6.357613e-01	
1	3	58	-2	4	1	3	3	6.080045e-01	
1	3	59	-2	2	1	3	3	6.931991e-01	
1	3	60	-4	4	1	3	3	6.501529e-01	
2	4	61	-1	3	1	1	2	8.702807e-01	
2	4	62	3	1	1	1	2	6.124383e-01	
2	4	63	-1	1	1	1	1	8.056357e-01	
2	4	64	4	2	1	1	2	6.268326e-01	
2	4	65	3	5	1	1	2	6.632334e-01	
2	4	66	-4	4	1	3	3	6.103548e-01	
2	4	67	-3	3	1	3	3	6.253271e-01	
2	4	68	-3	3	1	3	3	6.752023e-01	
2	4	69	1	9	1	1	2	9.121752e-01	
2	4	70	1	9	1	2	1	8.894848e-01	
2	4	71	4	2	1	1	1	6.645574e-01	
2	4	72	-3	5	1	3	3	7.237017e-01	
2	4	73	2	6	1	1	2	7.967006e-01	
2	4	74	-2	4	1	2	3	8.398553e-01	
2	4	75	3	7	1	1	2	6.999752e-01	
2	4	76	2	6	1	1	2	8.924055e-01	
2	4	77	-4	4	1	3	3	6.995641e-01	
2	4	78	2	8	1	1	2	6.880257e-01	
2	4	79	-2	6	1	2	3	7.586883e-01	
2	4	80	4	4	1	1	1	6.516427e-01	
