Type	Block	Trial	SubjectiveValue	Uncertainty	Response	Fishing	Feedback	RT	
2	1	1	4	4	1	1	2	7.234100e-01	
2	1	2	-4	2	1	3	3	8.605595e-01	
2	1	3	-2	6	1	3	3	7.541232e-01	
2	1	4	-4	2	1	3	3	7.380814e-01	
2	1	5	3	3	1	1	1	7.213130e-01	
2	1	6	-3	5	1	3	3	7.358936e-01	
2	1	7	-1	5	1	2	3	6.999708e-01	
2	1	8	4	2	1	1	2	6.503544e-01	
2	1	9	-2	2	1	3	3	7.551490e-01	
2	1	10	-1	5	1	2	3	9.485750e-01	
2	1	11	2	8	1	3	3	8.279691e-01	
2	1	12	1	1	1	1	2	8.391898e-01	
2	1	13	-4	4	1	3	3	7.857391e-01	
2	1	14	-4	2	1	3	3	7.582119e-01	
2	1	15	4	2	1	1	1	8.521337e-01	
2	1	16	4	2	1	1	1	8.250435e-01	
2	1	17	4	6	1	2	2	9.232436e-01	
2	1	18	2	4	1	1	2	1.189302e+00	
2	1	19	-2	4	1	3	3	1.068071e+00	
2	1	20	3	7	1	1	2	8.798117e-01	
1	2	21	-1	5	1	2	1	1.009465e+00	
1	2	22	-1	5	0	999	4	?	
1	2	23	-3	5	1	3	3	8.523811e-01	
1	2	24	4	2	1	1	1	6.513278e-01	
1	2	25	4	6	1	1	2	7.542005e-01	
1	2	26	1	7	1	3	3	8.680411e-01	
1	2	27	-1	5	1	2	3	7.677337e-01	
1	2	28	4	2	1	1	2	5.870534e-01	
1	2	29	-2	2	1	3	3	9.871960e-01	
1	2	30	3	1	1	1	2	7.327859e-01	
1	2	31	-4	4	1	3	3	1.023454e+00	
1	2	32	3	1	1	1	2	9.931137e-01	
1	2	33	2	8	1	2	2	9.882731e-01	
1	2	34	-3	5	1	3	3	9.536414e-01	
1	2	35	4	4	1	1	1	7.640750e-01	
1	2	36	2	8	1	2	2	8.270665e-01	
1	2	37	-4	2	1	3	3	9.536603e-01	
1	2	38	1	3	1	1	2	9.533378e-01	
1	2	39	4	4	1	1	2	8.849975e-01	
1	2	40	4	2	1	1	2	8.942265e-01	
1	3	41	-3	1	1	2	3	8.764280e-01	
1	3	42	-1	7	1	3	3	1.044913e+00	
1	3	43	-3	5	1	3	3	9.864965e-01	
1	3	44	2	2	1	1	2	6.798214e-01	
1	3	45	2	4	1	1	2	1.161669e+00	
1	3	46	-3	1	1	3	3	1.025979e+00	
1	3	47	-2	4	1	3	3	9.381176e-01	
1	3	48	-4	4	1	3	3	1.074429e+00	
1	3	49	1	9	1	1	1	9.420615e-01	
1	3	50	2	6	1	1	2	9.646909e-01	
1	3	51	2	4	1	1	2	8.369221e-01	
1	3	52	2	6	1	1	1	1.122231e+00	
1	3	53	-1	7	1	3	3	1.019371e+00	
1	3	54	-1	3	1	2	3	1.092962e+00	
1	3	55	-3	5	1	3	3	9.332419e-01	
1	3	56	-3	3	1	3	3	9.480570e-01	
1	3	57	-4	4	1	3	3	1.022957e+00	
1	3	58	-2	4	1	3	3	1.306107e+00	
1	3	59	-2	2	1	3	3	1.037010e+00	
1	3	60	-4	4	1	3	3	1.140863e+00	
2	4	61	-1	3	1	2	3	9.036776e-01	
2	4	62	3	1	1	1	2	7.429279e-01	
2	4	63	-1	1	1	2	3	8.542059e-01	
2	4	64	4	2	1	1	2	8.105601e-01	
2	4	65	3	5	1	1	1	1.017377e+00	
2	4	66	-4	4	1	3	3	9.006488e-01	
2	4	67	-3	3	1	3	3	8.758910e-01	
2	4	68	-3	3	1	3	3	9.502814e-01	
2	4	69	1	9	1	2	2	1.000093e+00	
2	4	70	1	9	1	2	2	7.672292e-01	
2	4	71	4	2	1	1	2	8.497991e-01	
2	4	72	-3	5	1	3	3	9.630287e-01	
2	4	73	2	6	1	1	2	6.928242e-01	
2	4	74	-2	4	1	3	3	1.306269e+00	
2	4	75	3	7	1	1	1	7.716706e-01	
2	4	76	2	6	1	1	1	9.702963e-01	
2	4	77	-4	4	1	3	3	7.746583e-01	
2	4	78	2	8	1	1	2	6.954522e-01	
2	4	79	-2	6	1	3	3	8.623772e-01	
2	4	80	4	4	1	1	2	8.473337e-01	
