Type	Block	Trial	SubjectiveValue	Uncertainty	Response	Fishing	Feedback	RT	
2	1	1	4	4	1	1	1	7.191782e-01	
2	1	2	-4	2	1	3	3	6.315462e-01	
2	1	3	-2	6	1	2	3	1.022545e+00	
2	1	4	-4	2	1	3	3	6.904290e-01	
2	1	5	3	3	1	1	1	5.812551e-01	
2	1	6	-3	5	1	3	3	6.525702e-01	
2	1	7	-1	5	1	2	1	7.105217e-01	
2	1	8	4	2	1	1	2	5.949293e-01	
2	1	9	-2	2	1	2	3	8.147492e-01	
2	1	10	-1	5	1	2	3	8.972580e-01	
2	1	11	2	8	1	1	1	7.384314e-01	
2	1	12	1	1	1	1	1	1.189462e+00	
2	1	13	-4	4	1	2	3	7.690685e-01	
2	1	14	-4	2	1	3	3	5.639319e-01	
2	1	15	4	2	1	1	1	5.924309e-01	
2	1	16	4	2	1	1	1	5.705140e-01	
2	1	17	4	6	1	1	2	6.192732e-01	
2	1	18	2	4	1	1	1	7.186888e-01	
2	1	19	-2	4	1	3	3	8.603391e-01	
2	1	20	3	7	1	1	2	8.553311e-01	
1	2	21	-1	5	1	2	2	8.200084e-01	
1	2	22	-1	5	1	2	3	7.209986e-01	
1	2	23	-3	5	1	3	3	8.567042e-01	
1	2	24	4	2	1	1	2	7.352378e-01	
1	2	25	4	6	1	1	2	5.454495e-01	
1	2	26	1	7	1	2	2	8.589725e-01	
1	2	27	-1	5	1	2	3	5.727877e-01	
1	2	28	4	2	1	1	2	6.732209e-01	
1	2	29	-2	2	1	3	3	7.298587e-01	
1	2	30	3	1	1	1	2	6.973439e-01	
1	2	31	-4	4	1	3	3	7.472586e-01	
1	2	32	3	1	1	1	2	6.363847e-01	
1	2	33	2	8	1	1	2	8.862383e-01	
1	2	34	-3	5	1	3	3	6.957498e-01	
1	2	35	4	4	1	1	2	7.817202e-01	
1	2	36	2	8	1	1	2	7.014790e-01	
1	2	37	-4	2	1	3	3	5.578635e-01	
1	2	38	1	3	1	1	1	9.017777e-01	
1	2	39	4	4	1	1	1	6.388630e-01	
1	2	40	4	2	1	1	2	5.910324e-01	
1	3	41	-3	1	1	3	3	6.681615e-01	
1	3	42	-1	7	1	2	3	8.354301e-01	
1	3	43	-3	5	1	3	3	7.010690e-01	
1	3	44	2	2	1	1	2	7.524892e-01	
1	3	45	2	4	1	1	1	6.323057e-01	
1	3	46	-3	1	1	3	3	7.275164e-01	
1	3	47	-2	4	1	3	3	1.176064e+00	
1	3	48	-4	4	1	3	3	6.836400e-01	
1	3	49	1	9	1	2	3	7.953020e-01	
1	3	50	2	6	1	2	3	8.384519e-01	
1	3	51	2	4	1	1	2	8.183193e-01	
1	3	52	2	6	1	1	2	7.185370e-01	
1	3	53	-1	7	1	2	1	7.822355e-01	
1	3	54	-1	3	1	1	2	9.558945e-01	
1	3	55	-3	5	1	3	3	6.716549e-01	
1	3	56	-3	3	1	2	3	5.951437e-01	
1	3	57	-4	4	1	3	3	9.221767e-01	
1	3	58	-2	4	1	1	1	9.860346e-01	
1	3	59	-2	2	1	2	3	9.349564e-01	
1	3	60	-4	4	1	3	3	1.052661e+00	
2	4	61	-1	3	1	1	2	8.334785e-01	
2	4	62	3	1	1	1	2	9.498979e-01	
2	4	63	-1	1	1	2	3	6.617339e-01	
2	4	64	4	2	1	1	2	6.353043e-01	
2	4	65	3	5	1	1	2	6.672011e-01	
2	4	66	-4	4	1	3	3	7.575096e-01	
2	4	67	-3	3	1	3	3	8.144861e-01	
2	4	68	-3	3	1	3	3	6.222567e-01	
2	4	69	1	9	1	1	2	6.714988e-01	
2	4	70	1	9	1	1	2	6.085792e-01	
2	4	71	4	2	1	1	2	6.730259e-01	
2	4	72	-3	5	1	3	3	7.147643e-01	
2	4	73	2	6	1	1	1	7.325656e-01	
2	4	74	-2	4	1	2	3	8.626733e-01	
2	4	75	3	7	1	1	2	7.057211e-01	
2	4	76	2	6	1	1	2	7.776850e-01	
2	4	77	-4	4	1	3	3	6.927999e-01	
2	4	78	2	8	1	1	2	7.400466e-01	
2	4	79	-2	6	1	3	3	6.871830e-01	
2	4	80	4	4	1	1	2	9.440337e-01	
